// Compost colors for nuclearcraft. You may add your own colors, change existing ones, or remove colors that aren't needed.
actuator, #ffffff
crystal_binder_dust, #b92f4d
curium_243, #401248
curium_243_ni, #4b3252
curium_243_ox, #4b2279
curium_243_za, #76306b
curium_245, #251525
curium_245_ni, #483748
curium_245_ox, #48266b
curium_245_za, #72365e
curium_246, #291c29
curium_246_ni, #554858
curium_246_ox, #573689
curium_246_za, #80476f
curium_247, #726873
curium_247_ni, #4a3e4d
curium_247_ox, #4a2c70
curium_247_za, #7c4366
dark_chocolate, #2c110e
depleted_fuel_americium_hea_242, #2f1616
depleted_fuel_americium_hea_242_ni, #3a301b
depleted_fuel_americium_hea_242_ox, #3d202f
depleted_fuel_americium_hea_242_tr, #645c52
depleted_fuel_americium_hea_242_za, #5e2d25
depleted_fuel_americium_lea_242, #321912
depleted_fuel_americium_lea_242_ni, #3d3615
depleted_fuel_americium_lea_242_ox, #3e2529
depleted_fuel_americium_lea_242_tr, #645c51
depleted_fuel_americium_lea_242_za, #62331c
depleted_fuel_berkelium_heb_248, #480507
depleted_fuel_berkelium_heb_248_ni, #5a2f11
depleted_fuel_berkelium_heb_248_ox, #5b1436
depleted_fuel_berkelium_heb_248_tr, #685a50
depleted_fuel_berkelium_heb_248_za, #9b0b0b
depleted_fuel_berkelium_leb_248, #3c0f07
depleted_fuel_berkelium_leb_248_ni, #512a0a
depleted_fuel_berkelium_leb_248_ox, #572339
depleted_fuel_berkelium_leb_248_tr, #685b50
depleted_fuel_berkelium_leb_248_za, #93260e
depleted_fuel_californium_hecf_249, #694441
depleted_fuel_californium_hecf_249_ni, #50280f
depleted_fuel_californium_hecf_249_ox, #510c32
depleted_fuel_californium_hecf_249_tr, #665850
depleted_fuel_californium_hecf_249_za, #89040a
depleted_fuel_californium_hecf_251, #502925
depleted_fuel_californium_hecf_251_ni, #52280e
depleted_fuel_californium_hecf_251_ox, #540c2d
depleted_fuel_californium_hecf_251_tr, #665850
depleted_fuel_californium_hecf_251_za, #8e0407
depleted_fuel_californium_lecf_249, #55322d
depleted_fuel_californium_lecf_249_ni, #4e2812
depleted_fuel_californium_lecf_249_ox, #500c36
depleted_fuel_californium_lecf_249_tr, #665850
depleted_fuel_californium_lecf_249_za, #86000e
depleted_fuel_californium_lecf_251, #4e2923
depleted_fuel_californium_lecf_251_ni, #52280e
depleted_fuel_californium_lecf_251_ox, #540c2f
depleted_fuel_californium_lecf_251_tr, #665850
depleted_fuel_californium_lecf_251_za, #8e0407
depleted_fuel_curium_hecm_243, #331119
depleted_fuel_curium_hecm_243_ni, #41251f
depleted_fuel_curium_hecm_243_ox, #441936
depleted_fuel_curium_hecm_243_tr, #655b52
depleted_fuel_curium_hecm_243_za, #70252c
depleted_fuel_curium_hecm_245, #3a151c
depleted_fuel_curium_hecm_245_ni, #462f20
depleted_fuel_curium_hecm_245_ox, #471c3c
depleted_fuel_curium_hecm_245_tr, #655b52
depleted_fuel_curium_hecm_245_za, #762a2f
depleted_fuel_curium_hecm_247, #430f07
depleted_fuel_curium_hecm_247_ni, #512808
depleted_fuel_curium_hecm_247_ox, #572036
depleted_fuel_curium_hecm_247_tr, #685b50
depleted_fuel_curium_hecm_247_za, #93200b
depleted_fuel_curium_lecm_243, #39191f
depleted_fuel_curium_lecm_243_ni, #473625
depleted_fuel_curium_lecm_243_ox, #4a253e
depleted_fuel_curium_lecm_243_tr, #665c54
depleted_fuel_curium_lecm_243_za, #733232
depleted_fuel_curium_lecm_245, #37141b
depleted_fuel_curium_lecm_245_ni, #462c20
depleted_fuel_curium_lecm_245_ox, #481c39
depleted_fuel_curium_lecm_245_tr, #655b52
depleted_fuel_curium_lecm_245_za, #762a2f
depleted_fuel_curium_lecm_247, #3c0e18
depleted_fuel_curium_lecm_247_ni, #44201b
depleted_fuel_curium_lecm_247_ox, #461432
depleted_fuel_curium_lecm_247_tr, #655b52
depleted_fuel_curium_lecm_247_za, #7d1e28
depleted_fuel_mixed_mix_239, #37412d
depleted_fuel_mixed_mix_239_ni, #486c3a
depleted_fuel_mixed_mix_239_ox, #485b51
depleted_fuel_mixed_mix_239_tr, #656557
depleted_fuel_mixed_mix_239_za, #5e6e43
depleted_fuel_mixed_mix_241, #39432f
depleted_fuel_mixed_mix_241_ni, #486c3a
depleted_fuel_mixed_mix_241_ox, #485b51
depleted_fuel_mixed_mix_241_tr, #656557
depleted_fuel_mixed_mix_241_za, #5e6e43
depleted_fuel_neptunium_hen_236, #374736
depleted_fuel_neptunium_hen_236_ni, #4e7f4b
depleted_fuel_neptunium_hen_236_ox, #4e6862
depleted_fuel_neptunium_hen_236_tr, #666658
depleted_fuel_neptunium_hen_236_za, #657f57
depleted_fuel_neptunium_len_236, #405143
depleted_fuel_neptunium_len_236_ni, #4d7d51
depleted_fuel_neptunium_len_236_ox, #4d6669
depleted_fuel_neptunium_len_236_tr, #66665a
depleted_fuel_neptunium_len_236_za, #627d5c
depleted_fuel_plutonium_hep_239, #3d2d29
depleted_fuel_plutonium_hep_239_ni, #4d5233
depleted_fuel_plutonium_hep_239_ox, #4e3e47
depleted_fuel_plutonium_hep_239_tr, #666155
depleted_fuel_plutonium_hep_239_za, #6b503d
depleted_fuel_plutonium_hep_241, #2a1b15
depleted_fuel_plutonium_hep_241_ni, #363019
depleted_fuel_plutonium_hep_241_ox, #36262c
depleted_fuel_plutonium_hep_241_tr, #625c51
depleted_fuel_plutonium_hep_241_za, #50321f
depleted_fuel_plutonium_lep_239, #625a57
depleted_fuel_plutonium_lep_239_ni, #839873
depleted_fuel_plutonium_lep_239_ox, #847f97
depleted_fuel_plutonium_lep_239_tr, #6f695e
depleted_fuel_plutonium_lep_239_za, #aa9884
depleted_fuel_plutonium_lep_241, #5f514d
depleted_fuel_plutonium_lep_241_ni, #7f9065
depleted_fuel_plutonium_lep_241_ox, #807083
depleted_fuel_plutonium_lep_241_tr, #6e685c
depleted_fuel_plutonium_lep_241_za, #a48a73
depleted_fuel_thorium_tbu, #f2d1b
depleted_fuel_thorium_tbu_ni, #144d23
depleted_fuel_thorium_tbu_ox, #144132
depleted_fuel_thorium_tbu_tr, #5e6154
depleted_fuel_thorium_tbu_za, #1e5a2d
depleted_fuel_uranium_heu_233, #4d5843
depleted_fuel_uranium_heu_233_ni, #648a55
depleted_fuel_uranium_heu_233_ox, #64796f
depleted_fuel_uranium_heu_233_tr, #69695a
depleted_fuel_uranium_heu_233_za, #76875e
depleted_fuel_uranium_heu_235, #434d3d
depleted_fuel_uranium_heu_235_ni, #527c4b
depleted_fuel_uranium_heu_235_ox, #526662
depleted_fuel_uranium_heu_235_tr, #666658
depleted_fuel_uranium_heu_235_za, #6b7d57
depleted_fuel_uranium_leu_233, #3c4a36
depleted_fuel_uranium_leu_233_ni, #4b7543
depleted_fuel_uranium_leu_233_ox, #4b6157
depleted_fuel_uranium_leu_233_tr, #656557
depleted_fuel_uranium_leu_233_za, #61764d
depleted_fuel_uranium_leu_235, #3e4733
depleted_fuel_uranium_leu_235_ni, #4e7340
depleted_fuel_uranium_leu_235_ox, #4e5f54
depleted_fuel_uranium_leu_235_tr, #666557
depleted_fuel_uranium_leu_235_za, #64734a
diamond_dust, #9bfffe
dimensional_blend_dust, #a79890
dominos, #ffbe58
dosimeter, #9e9d94
dps, #587073
electrum_dust, #bebede
electrum_ingot, #a4a858
electrum_nugget, #e6e4ae
electrum_plate, #e0c96c
emerald_dust, #9bffb2
empty_sink, #9b9b9b
end_of_the_world, #404640
end_stone_dust, #a49487
enderium_dust, #509eb5
energetic_blend_dust, #a76804
erbium_dust, #6e7f8c
europium_155_dust, #877582
extreme_dust, #9d6e6e
extreme_ingot, #5a1f3e
extreme_plate, #f76993
ferroboron_dust, #b8c0c9
ferroboron_ingot, #363636
ferroboron_plate, #6b7270
flour, #ffffff
fluorite_dust, #78af80
fluorite_gem, #f5fffc
fuel_americium_hea_242, #5e5e44
fuel_americium_hea_242_ni, #465418
fuel_americium_hea_242_ox, #43412d
fuel_americium_hea_242_tr, #656151
fuel_americium_hea_242_za, #766120
fuel_americium_lea_242, #54543d
fuel_americium_lea_242_ni, #394314
fuel_americium_lea_242_ox, #363425
fuel_americium_lea_242_tr, #645f51
fuel_americium_lea_242_za, #5f4e19
fuel_berkelium_heb_248, #735b3e
fuel_berkelium_heb_248_ni, #665014
fuel_berkelium_heb_248_ox, #683336
fuel_berkelium_heb_248_tr, #695c4e
fuel_berkelium_heb_248_za, #ab3400
fuel_berkelium_leb_248, #6b5a40
fuel_berkelium_leb_248_ni, #5c5419
fuel_berkelium_leb_248_ox, #5c373d
fuel_berkelium_leb_248_tr, #685c50
fuel_berkelium_leb_248_za, #963d08
fuel_californium_hecf_249, #6b4441
fuel_californium_hecf_249_ni, #5a3423
fuel_californium_hecf_249_ox, #5b1b47
fuel_californium_hecf_249_tr, #665a51
fuel_californium_hecf_249_za, #820416
fuel_californium_hecf_251, #623934
fuel_californium_hecf_251_ni, #5c331e
fuel_californium_hecf_251_ox, #5e1941
fuel_californium_hecf_251_tr, #685a51
fuel_californium_hecf_251_za, #86000f
fuel_californium_lecf_249, #57322f
fuel_californium_lecf_249_ni, #55331c
fuel_californium_lecf_249_ox, #551940
fuel_californium_lecf_249_tr, #665a51
fuel_californium_lecf_249_za, #78000c
fuel_californium_lecf_251, #512a25
fuel_californium_lecf_251_ni, #583318
fuel_californium_lecf_251_ox, #5a193c
fuel_californium_lecf_251_tr, #665a50
fuel_californium_lecf_251_za, #7f0005
fuel_curium_hecm_243, #6b4e68
fuel_curium_hecm_243_ni, #392f3d
fuel_curium_hecm_243_ox, #3d0e5b
fuel_curium_hecm_243_tr, #645b57
fuel_curium_hecm_243_za, #5f1554
fuel_curium_hecm_245, #684e65
fuel_curium_hecm_245_ni, #3c333e
fuel_curium_hecm_245_ox, #3a0f57
fuel_curium_hecm_245_tr, #645b57
fuel_curium_hecm_245_za, #5b1651
fuel_curium_hecm_247, #664e64
fuel_curium_hecm_247_ni, #373439
fuel_curium_hecm_247_ox, #391152
fuel_curium_hecm_247_tr, #645b57
fuel_curium_hecm_247_za, #58194d
fuel_curium_lecm_243, #645061
fuel_curium_lecm_243_ni, #333436
fuel_curium_lecm_243_ox, #34154b
fuel_curium_lecm_243_tr, #625c55
fuel_curium_lecm_243_za, #511e46
fuel_curium_lecm_245, #5f505e
fuel_curium_lecm_245_ni, #393e3a
fuel_curium_lecm_245_ox, #391c52
fuel_curium_lecm_245_tr, #645c57
fuel_curium_lecm_245_za, #582a4b
fuel_curium_lecm_247, #645562
fuel_curium_lecm_247_ni, #404341
fuel_curium_lecm_247_ox, #3d2558
fuel_curium_lecm_247_tr, #645e57
fuel_curium_lecm_247_za, #5f3652
fuel_mixed_mix_239, #949e97
fuel_mixed_mix_239_ni, #659062
fuel_mixed_mix_239_ox, #657c79
fuel_mixed_mix_239_tr, #6b6b5c
fuel_mixed_mix_239_za, #8aa275
fuel_mixed_mix_241, #849086
fuel_mixed_mix_241_ni, #588355
fuel_mixed_mix_241_ox, #5a706b
fuel_mixed_mix_241_tr, #69695b
fuel_mixed_mix_241_za, #7a9466
fuel_neptunium_hen_236, #4b6169
fuel_neptunium_hen_236_ni, #caf1e1
fuel_neptunium_hen_236_ox, #e4155
fuel_neptunium_hen_236_tr, #5c6157
fuel_neptunium_hen_236_za, #cff7ed
fuel_neptunium_len_236, #4b5b61
fuel_neptunium_len_236_ni, #cdeade
fuel_neptunium_len_236_ox, #cddee8
fuel_neptunium_len_236_tr, #5e6157
fuel_neptunium_len_236_za, #d3eee7
fuel_plutonium_hep_239, #f2f2f2
fuel_plutonium_hep_239_ni, #bbe7bb
fuel_plutonium_hep_239_ox, #bcc5ea
fuel_plutonium_hep_239_tr, #7a786b
fuel_plutonium_hep_239_za, #e8e8d2
fuel_plutonium_hep_241, #dadada
fuel_plutonium_hep_241_ni, #a7d4a7
fuel_plutonium_hep_241_ox, #a8b1d9
fuel_plutonium_hep_241_tr, #767366
fuel_plutonium_hep_241_za, #d6d6bf
fuel_plutonium_lep_239, #ffffff
fuel_plutonium_lep_239_ni, #d4fed4
fuel_plutonium_lep_239_ox, #d6ddff
fuel_plutonium_lep_239_tr, #807d70
fuel_plutonium_lep_239_za, #f4f4e6
fuel_plutonium_lep_241, #f0f0f0
fuel_plutonium_lep_241_ni, #c5f1c5
fuel_plutonium_lep_241_ox, #c6cdf4
fuel_plutonium_lep_241_tr, #7c796c
fuel_plutonium_lep_241_za, #e7e7d6
fuel_thorium_tbu, #4a4a4a
fuel_thorium_tbu_ni, #2d3d2d
fuel_thorium_tbu_ox, #2f303e
fuel_thorium_tbu_tr, #646155
fuel_thorium_tbu_za, #3e3e36
fuel_uranium_heu_233, #4a664e
fuel_uranium_heu_233_ni, #12660e
fuel_uranium_heu_233_ox, #125123
fuel_uranium_heu_233_tr, #5f6251
fuel_uranium_heu_233_za, #207312
fuel_uranium_heu_235, #4d6450
fuel_uranium_heu_235_ni, #166212
fuel_uranium_heu_235_ox, #164d2f
fuel_uranium_heu_235_tr, #5f6151
fuel_uranium_heu_235_za, #286e19
fuel_uranium_leu_233, #4e6451
fuel_uranium_leu_233_ni, #185f15
fuel_uranium_leu_233_ox, #194830
fuel_uranium_leu_233_tr, #5f6152
fuel_uranium_leu_233_za, #2c6b1e
fuel_uranium_leu_235, #506251
fuel_uranium_leu_235_ni, #1b5c16
fuel_uranium_leu_235_ox, #1b4633
fuel_uranium_leu_235_tr, #5f6152
fuel_uranium_leu_235_za, #2f6820
gadolinium_dust, #5b5b5b
geiger_counter, #767870
gelatin, #6e6e6e
germanium_dust, #d7d7f2
gold_dust, #fffff0
graham_cracker, #ffd35b
graphite_dust, #252525
graphite_ingot, #222222
graphite_plate, #3e3e41
ground_cocoa_nibs, #d3c3b9
hafnium_dust, #837c98
hafnium_ingot, #948989
hard_carbon_dust, #36615b
hard_carbon_ingot, #a2257
hard_carbon_plate, #5ba190
hazmat_boots, #c0c0c
hazmat_chest, #fff423
hazmat_mask, #ffe14b
hazmat_pants, #d6b819
heavy, #587073
hev_boots, #9d664e
hev_chest, #9d6b4a
hev_helmet, #5c5551
hev_pants, #b26228
hsla_steel_dust, #8d7cb1
hsla_steel_ingot, #68689d
hsla_steel_plate, #d6e6ff
hyperspace, #575454
iodine_dust, #323232
iron_dust, #dcdcdc
iron_plate, #a4a5a8
irradiated_borax_dust, #ffffff
lapis_dust, #2279ff
lead_chunk, #8ca5b1
lead_dust, #465050
lead_ingot, #5a6464
lead_nugget, #ffffff
lead_plate, #5e727c
lead_platinum_dust, #465050
lead_platinum_ingot, #466468
light, #b4b9b9
lithium_6, #ffffff
lithium_6_ni, #ffffff
lithium_6_ox, #ffffff
lithium_6_za, #ffffff
lithium_7, #ffffff
lithium_7_ni, #ffffff
lithium_7_ox, #ffffff
lithium_7_za, #ffffff
lithium_chunk, #ffffff
lithium_dust, #f8f8f8
lithium_ingot, #f7f7f7
lithium_ion_cell, #797a7c
lithium_manganese_dioxide_dust, #bebede
lithium_manganese_dioxide_ingot, #707070
lithium_manganese_dioxide_plate, #9ea8a4
lithium_nugget, #eaedf2
lithium_plate, #d2e6f1
magnesium_chunk, #ffcfff
magnesium_diboride_ingot, #110e0a
magnesium_dust, #edddea
magnesium_ingot, #d0becf
magnesium_nugget, #fae3e3
magnesium_plate, #c39bc5
manganese_dioxide_dust, #1f1c19
manganese_dioxide_ingot, #2f2623
manganese_dust, #a4bfff
manganese_ingot, #aac6ff
manganese_oxide_dust, #375146
manganese_oxide_ingot, #627562
manganese_plate, #fef5ff
marshmallow, #ffffff
medium, #a2a7a7
milk_chocolate, #48180a
molybdenum_dust, #cfddff
money_for_nothing, #646266
motor, #9d9d9d
multitool, #4b4a47
neodymium_dust, #bcbfda
neptunium_236, #1f2930
neptunium_236_ni, #3c796b
neptunium_236_ox, #3c5f94
neptunium_236_za, #588384
neptunium_237, #364754
neptunium_237_ni, #437268
neptunium_237_ox, #435f8e
neptunium_237_za, #5c7a7c
netherite_dust, #4a3923
netherite_plate, #44403e
nichrome_ingot, #696e64
niobium_dust, #c5c5d7
niobium_ingot, #c6c6d0
niobium_tin_ingot, #c6c6de
niobium_titanium_ingot, #6f5e6b
obsidian_dust, #230f48
osmiridium_ingot, #c8d2f0
osmium_dust, #7f89b6
osmium_ingot, #7c8da2
palladium_dust, #ffffff
palladium_ingot, #ffffff
palladium_plate, #ffffff
plate_advanced, #a09d9e
plate_basic, #6b797a
plate_du, #8a9893
plate_elite, #8c8e8e
plate_extreme, #371e44
platinum_chunk, #fcffff
platinum_dust, #ffffff
platinum_ingot, #91b2b5
platinum_nugget, #ffffff
platinum_plate, #abbfe7
plutonium_238, #b1b1b1
plutonium_238_ni, #d0f1d0
plutonium_238_ox, #d2d9f2
plutonium_238_za, #eeeee0
plutonium_239, #b1b1b1
plutonium_239_ni, #d6f5d6
plutonium_239_ox, #d7deff
plutonium_239_za, #f1f1e4
plutonium_241, #b1b1b1
plutonium_241_ni, #c9eac9
plutonium_241_ox, #cad3f8
plutonium_241_za, #e7e7d9
plutonium_242, #898989
plutonium_242_ni, #e6ffe6
plutonium_242_ox, #e6edff
plutonium_242_za, #fefef2
polonium_dust, #76a098
potassium_dust, #a0a44b
potassium_fluoride_dust, #ffffde
potassium_hydroxide_dust, #fffffa
potassium_ingot, #eefc08
potassium_iodide_dust, #ffffff
promethium_147_dust, #d6ffd9
protactinium_233_dust, #a0767d
purpur_dust, #9b50b5
pyrolitic_carbon_dust, #292929
pyrolitic_carbon_ingot, #222222
quartz_dust, #fae8da
rad_x, #c69b73
radaway, #a89772
radaway_slow, #a87f72
radium_dust, #8a7a9e
research_paper, #ffffff
rhodochrosite_dust, #581f28
rhodochrosite_gem, #ffebf2
roasted_cocoa_beans, #473223
ruthenium_106_dust, #787878
salt, #ffffff
samarium_dust, #687c75
sawdust, #ffffff
servo, #878383
shibuichi_dust, #3c4b3d
shibuichi_ingot, #8e8a89
sic_fiber, #868273
sic_sic_cmc_dust, #847a65
sic_sic_cmc_ingot, #6c6658
sic_sic_cmc_plate, #d9d9c5
silicon_carbide_dust, #bebede
silicon_carbide_ingot, #6b6558
silicon_gem, #797979
silver_chunk, #ffffff
silver_dust, #625e6e
silver_ingot, #c9bfe3
silver_nugget, #ffffff
silver_plate, #fbffff
sodium_dust, #866690
sodium_fluoride_dust, #fffbe4
sodium_hydroxide_dust, #ffffff
sodium_ingot, #be9193
spaxelhoe_thorium, #292929
spaxelhoe_tough, #89868e
stainless_steel_ingot, #9aa2a4
steel_dust, #465050
steel_ingot, #acacac
steel_nugget, #e7e7e7
steel_plate, #faffff
strontium_90_dust, #e4eaa7
strontium_dust, #a8acb2
strontium_ingot, #c5ca9d
sulfur_dust, #ffff72
super_alloy_ingot, #765065
tbp_dust, #523e41
terbium_dust, #6884a5
thallium_dust, #bebede
thermoconducting_dust, #3c4b3d
thermoconducting_ingot, #626f46
thermoconducting_plate, #587c57
thorium_230, #434343
thorium_230_ni, #464136
thorium_230_ox, #464136
thorium_230_za, #464136
thorium_232, #f7fef7
thorium_232_ni, #f7fef7
thorium_232_ox, #3c404e
thorium_232_za, #5e5e4d
thorium_chunk, #2c2d37
thorium_dust, #292929
thorium_ingot, #292929
thorium_nugget, #6b6469
thorium_plate, #525858
tin_chunk, #c3c6dc
tin_dust, #bebede
tin_ingot, #b9b9dd
tin_nugget, #ffffff
tin_plate, #dceaff
tin_silver_dust, #bebede
tin_silver_ingot, #ffffff
titanium_dust, #786c75
titanium_ingot, #867984
tough_alloy_dust, #2f3748
tough_alloy_ingot, #15121b
tough_alloy_plate, #2c1e34
tough_boots, #28232d
tough_chest, #231c2c
tough_helmet, #29222a
tough_pants, #26222d
tungsten_carbide_ingot, #282a28
tungsten_dust, #444844
tungsten_ingot, #585c58
unsweetened_chocolate, #301f1b
upgrade_energy, #eed964
upgrade_speed, #a794af
uranium_233, #5e665c
uranium_233_ni, #447841
uranium_233_ox, #4e6f5e
uranium_233_za, #5c8352
uranium_235, #163d15
uranium_235_ni, #165115
uranium_235_ox, #164322
uranium_235_za, #225e1b
uranium_238, #2c5029
uranium_238_ni, #2a7328
uranium_238_ox, #2c543a
uranium_238_za, #407232
uranium_chunk, #edfff0
uranium_dust, #3c4b3d
uranium_ingot, #485a48
uranium_nugget, #ffffff
uranium_plate, #b2e6af
villiaumite_dust, #b2573c
villiaumite_gem, #ffcfc2
wanderer, #404043
yellowcake_dust, #a49487
ytterbium_dust, #4b3264
yttrium_dust, #e1d384
yttrium_ingot, #f2eabb
zinc_chunk, #ddfcff
zinc_dust, #c6c6e0
zinc_ingot, #dedede
zinc_nugget, #e6e4ae
zinc_plate, #79a193
zircaloy_dust, #ffffb8
zircaloy_ingot, #fffffa
zirconium_dust, #ffffb8
zirconium_ingot, #ffffbf
zirconium_molybdenum_dust, #ffffff
zirconium_molybdenum_ingot, #ffffff
zirconium_nugget, #ffffff
zirconium_plate, #ffffff
